Type_of_property,Subtype_of_property,Locality,Price,Type_of_sale,Number_of_rooms,Area,Kitchen_type,Furnished,Open_fire,Terasse,Garden,Surface_of_land,Surface_plot_land,Number_of_facades,Swimming_pool,Building_condition
House,House,1330 — Rixensart,285000,,3,115,Installed,No,0,0,0,164,72,3,0,Good
House,Mixed-use building,4500 — Huy,289000,,3,322,Semi equipped,No,0,0,400,492,144,3,0,Good
House,House,6800 — Libramont-Chevigny,295000,,5,460,Semi equipped,No,0,0,0,321,,2,0,To be done up
House,Mansion,9600 — Ronse,295000,,5,261,Installed,No,0,0,66,279,198,3,0,Good
House,House,4520 — BAS-OHA,309000,,5,170,Semi equipped,No,0,0,600,891,,4,0,Good
House,Villa,4520 — BAS-OHA,309000,,5,170,Semi equipped,No,0,0,600,891,,4,0,Good
House,House,4120 — Neupré Rotheux-Rimière,310000,,3,108,Installed,No,0,0,2730,2815,,4,0,To be done up
House,House,4470 — Saint-Georges-sur-Meuse,335000,,4,140,Hyper equipped,No,0,0,1300,2013,113,4,0,To be done up
House,House,1930 — Zaventem,349000,,3,120,Semi equipped,No,0,0,100,171,,2,0,To renovate
House,Villa,9600 — Ronse,349000,,4,186,Hyper equipped,No,0,0,485,992,220,4,0,Good
House,House,1420 — Braine-l'Alleud,350000,,4,207,Installed,No,0,0,490,585,,3,0,Good
House,House,1480 — Tubize,378000,,4,210,Semi equipped,No,0,0,850,968,100,3,0,Good
House,House,3000 — Leuven,395000,,3,104,Installed,Yes,0,0,0,49,,2,0,Good
House,Apartment block,4500 — Huy,395000,,5,400,Hyper equipped,No,0,0,366,603,186,4,0,As new
House,Exceptional property,4500 — Huy,395000,,5,400,Hyper equipped,No,0,0,366,603,186,4,0,As new
House,House,7181 — Seneffe,395000,,4,380,Hyper equipped,No,0,0,2955,3145,351,4,0,Good
House,Apartment block,1070 — Anderlecht,399000,,3,190,USA hyper equipped,No,0,0,0,50,46,2,0,Good
House,House,3202 — Aarschot Rillaar,400000,,6,293,Hyper equipped,No,0,0,0,1023,,4,0,Good
House,House,1600 — Sint-Pieters-Leeuw,410000,,2,130,USA hyper equipped,Yes,0,0,70,250,62,3,0,As new
House,House,1070 — Anderlecht,415000,,4,145,Installed,No,0,0,0,95,80,3,0,Good
House,House,2820 — Bonheiden,425000,,4,182,USA hyper equipped,No,0,0,117,175,,2,0,As new
House,Town-house,1853 — Grimbergen Strombeek-Bever,430000,,4,155,USA hyper equipped,No,0,0,50,170,160,2,0,Just renovated
House,House,1970 — Wezembeek-Oppem,449000,,2,168,Semi equipped,No,0,0,0,625,,3,0,To renovate
House,House,4530 — FIZE-FONTAINE,449000,,4,330,Installed,No,1,0,450,893,,2,0,As new
House,Villa,7830 — Silly,449000,,4,220,Installed,No,0,0,950,1150,,4,0,As new
House,Mixed-use building,1190 — Forest,450000,,2,220,Installed,No,0,0,60,193,200,2,0,As new
House,Villa,9400 — Ninove,460000,,4,225,Installed,No,0,0,0,1635,,4,0,Good
House,House,1460 — Ittre,465000,,5,225,USA hyper equipped,No,0,0,400,601,,2,0,As new
House,House,1480 — Tubize,465000,,5,225,USA hyper equipped,No,0,0,400,601,,2,0,As new
House,House,1170 — Watermael-Boitsfort,470000,,3,130,Hyper equipped,No,0,0,30,83,,2,0,Good
House,House,1421 — Ophain-Bois-Seigneur-Isaac,475000,,5,170,Installed,No,1,0,400,710,,4,0,Good
House,Villa,1300 — Wavre,490000,,3,178,Installed,No,1,0,600,948,,4,0,Good
House,Villa,1300 — Wavre,495000,,3,150,Hyper equipped,No,0,0,300,600,,4,0,As new
House,Villa,1330 — Rosières,495000,,4,170,Installed,No,0,0,0,740,110,4,0,To renovate
House,House,1640 — Rhode-Saint-Genèse,495000,,3,185,Semi equipped,No,0,0,562,635,192,2,0,Just renovated
House,House,1020 — Laeken,539000,,6,390,Installed,Yes,0,0,346,386,,2,0,To renovate
House,House,1200 — Woluwe-Saint-Lambert,540000,,4,225,Not installed,No,0,0,240,319,,3,0,To renovate
House,Exceptional property,1742 — Ternat,549000,,3,221,USA hyper equipped,No,0,0,283,420,,4,0,Good
House,House,9600 — Ronse,620000,,4,393,Hyper equipped,No,1,0,434,569,,2,0,Good
