Type of property,Subtype of property,Price,State of the building,Surface of the plot,Surface of the land,Area,Number of rooms,Furnished,Fully equipped kitchen,Number of facades,Garden,Garden surface,Open fire,Terrace,Terrace surface,Investment property
House,Villa,870000,As new,1094,185,317,4,0,1,4,1,909,0,0,,0
House,House,1090000,Good,2600,0,350,4,0,0,4,1,2600,0,0,,0
House,Mansion,1885000,To be done up,807,238,900,10,0,1,2,1,569,0,0,,0
House,House,2495000,As new,1796,391,730,4,0,1,4,1,1405,0,0,,0
House,House,5850000,As new,9312,312,1130,5,0,1,4,1,9000,0,0,,0
House,House,525000,Good,783,783,189,3,0,0,3,1,,1,0,,0
House,House,399000,Just renovated,120,78,130,3,0,0,2,1,30,0,1,12,0
House,House,389000,Good,232,65,170,3,0,0,2,1,147,0,1,20,0
House,House,529000,,159,76,200,4,0,0,3,1,83,0,0,,0
House,House,832500,As new,2115,2115,295,4,0,1,4,1,,0,0,,0
House,House,454000,Just renovated,248,190,150,3,0,0,3,1,50,0,1,8,0
House,House,545000,As new,285,195,205,4,0,1,3,1,90,0,0,,0
House,House,675000,As new,112,77,200,3,0,0,2,1,35,0,0,,0
House,House,230000,Good,100,71,123,2,0,0,,1,29,0,0,,0
House,House,279000,Good,310,310,208,3,0,0,,1,,0,0,,0
House,House,314000,As new,120,54,105,2,0,1,,1,46,0,1,20,0
House,House,369000,As new,354,354,180,3,0,0,,0,,0,0,,0
House,House,385000,As new,576,366,156,3,0,1,,1,140,0,1,70,0
House,House,389000,As new,280,280,160,2,0,1,,1,,0,0,,0
House,House,398000,As new,120,120,180,3,0,1,,0,,0,0,,0
House,House,449000,Good,811,239,223,3,0,0,,1,572,0,0,,0
House,House,459000,Good,328,328,180,4,0,0,,1,,0,0,,0
House,House,499000,As new,205,153,288,6,0,1,,0,,0,1,52,0
House,Villa,685000,Good,1262,1262,374,3,0,0,,1,,0,0,,0
House,Villa,689000,Good,1925,1925,390,4,0,0,,0,,0,0,,0
House,Villa,696000,As new,656,-32374,300,4,0,0,,1,33000,0,1,30,0
House,House,700000,Good,119,119,285,4,0,0,,0,,0,0,,1
House,Villa,745000,Good,5182,5182,375,5,0,0,4,1,,0,0,,0
House,Villa,1125000,Good,3079,579,508,4,0,0,,1,2500,0,0,,0
House,House,1150000,As new,144,33,348,4,0,1,,1,56,0,1,55,0
House,House,1190000,As new,749,749,840,6,0,1,,0,,0,0,,0
House,Villa,2200000,As new,2735,2735,590,4,0,1,,1,,0,0,,0
House,House,334000,,378,364,201,3,0,1,,1,,0,1,14,0
House,House,395000,Good,265,250,265,3,0,0,3,1,15,0,0,,0
House,Manor house,1800000,Good,12761,12761,455,4,0,1,4,0,,0,0,,0
House,Town-house,329000,As new,48,48,138,1,0,1,2,0,,0,0,,0
House,House,225000,To renovate,620,305,180,3,0,0,3,1,315,0,0,,0
House,House,1145000,Good,17441,17441,670,7,0,0,4,1,,1,0,,0
House,House,205000,Good,155,73,166,3,0,0,2,1,82,0,0,,0
House,House,265000,Just renovated,334,122,140,3,0,0,2,1,163,0,1,49,
House,House,349000,Good,287,187,165,4,0,0,2,1,100,0,0,,0
House,House,369000,As new,160,100,137,3,0,0,3,1,60,0,0,,0
,,,,,,,,0,0,,0,,0,0,,
House,House,415000,As new,156,137,162,5,0,1,2,1,19,1,0,,0
House,House,536000,As new,80,62,137,3,0,0,2,1,18,1,0,,0
House,House,545000,Good,,,,3,0,0,4,0,,1,0,,0
House,House,592000,Just renovated,398,151,268,4,0,0,2,1,247,1,0,,
House,House,625000,,2681,2681,360,4,0,0,,1,,0,0,,0
House,Villa,635000,To renovate,2387,2387,503,6,0,0,4,1,,0,0,,0
House,House,635000,As new,2363,184,281,3,0,0,4,1,2159,1,1,20,
House,House,679000,As new,841,371,208,4,0,1,4,1,470,0,0,,0
House,Exceptional property,745000,As new,286,273,286,4,0,0,2,0,,1,1,13,0
House,Villa,1350000,,3840,3840,510,6,0,0,4,1,,0,0,,0
House,Villa,1385000,As new,1443,543,413,4,0,1,4,1,900,1,0,,0
House,House,1390000,Good,2535,2535,281,3,0,1,4,0,,0,0,,0
House,House,3995000,,2829,1691,1200,6,0,1,3,1,880,0,1,258,0
House,Town-house,323300,As new,134,134,216,4,0,1,3,0,,0,0,,
House,Town-house,363300,As new,150,150,216,4,0,1,2,0,,0,0,,
House,Town-house,368300,As new,155,155,216,4,0,1,2,0,,0,0,,
House,House,378800,As new,476,476,144,3,0,1,3,0,,0,0,,
House,House,381400,As new,476,476,144,3,0,1,3,0,,0,0,,
House,House,,Just renovated,300,150,232,4,0,0,3,1,100,1,1,50,0
House,House,434600,As new,970,970,233,3,0,1,4,0,,0,0,,
House,House,442000,As new,885,885,185,4,0,1,4,0,,0,0,,
House,House,444100,As new,938,938,217,3,0,1,4,0,,0,0,,
House,House,444100,As new,993,993,217,3,0,1,4,0,,0,0,,
House,House,450200,As new,578,578,208,3,0,1,3,0,,0,0,,
House,House,456200,As new,749,749,208,3,0,1,3,0,,0,0,,
House,House,466400,As new,995,995,198,4,0,1,4,0,,0,0,,
House,House,466400,As new,940,940,198,4,0,1,4,0,,0,0,,
House,Exceptional property,689000,Good,240,115,,5,0,0,1,1,100,1,1,25,0
House,House,395000,As new,95,76,128,3,0,0,2,1,19,0,0,,0
House,House,298000,Good,132,82,160,2,0,0,2,1,50,0,0,,0
House,House,,To renovate,60,60,,5,0,0,2,0,,0,0,,0
House,House,235000,To be done up,89,89,38,3,0,0,,0,,0,0,,0
House,House,319000,As new,530,530,185,3,0,0,3,1,,1,0,,
House,House,345000,To renovate,640,265,139,2,0,0,4,1,350,0,1,25,0
House,House,355000,Good,195,66,205,3,0,0,2,1,120,1,1,9,0
House,House,360000,Just renovated,248,58,178,3,0,0,2,1,170,1,1,20,
House,House,397000,Good,158,85,255,3,0,0,3,1,53,0,1,20,
House,House,400000,Good,1462,1462,186,3,0,0,,1,,0,0,,0
House,House,429000,Good,210,210,230,6,0,0,,0,,0,0,,0
House,House,435000,As new,248,113,200,4,0,1,2,1,120,0,1,15,0
,,,,,,,,0,0,,0,,0,0,,
House,Villa,560000,To renovate,2200,2139,660,3,0,0,4,1,1,0,1,60,
House,House,567000,,473,309,247,5,0,0,4,1,147,0,1,17,0
House,Villa,599000,Good,1230,-571,363,5,0,0,,1,1780,0,1,21,0
House,Country house,649000,As new,447,123,208,3,0,1,,1,300,0,1,24,0
House,House,850000,Good,585,585,420,8,0,0,,1,,0,0,,0
House,House,1065000,To renovate,7122,7122,484,4,0,0,4,0,,0,0,,0
House,House,5100000,As new,6335,6335,1600,9,0,1,4,0,,0,0,,0
House,House,365000,As new,533,148,204,3,0,1,2,1,385,0,0,,0
House,House,259000,As new,139,139,120,2,0,0,2,0,,0,0,,0
House,House,295000,,754,754,68,1,0,0,3,1,,0,0,,0
House,House,170000,Good,142,142,182,1,0,0,2,0,,0,0,,0
,,,,,,,,0,0,,0,,0,0,,
House,House,435000,Good,300,134,250,4,0,0,3,1,146,1,1,20,0
House,House,485000,As new,256,119,358,3,0,0,2,1,112,1,1,25,0
House,House,649000,,372,372,615,3,0,0,4,0,,0,0,,0
House,Apartment block,718000,To renovate,235,194,458,4,0,0,2,0,,0,1,41,1
House,Villa,920000,As new,630,95,360,6,0,1,4,1,495,0,1,40,0
House,House,1350000,Good,21780,0,600,6,0,1,4,1,21780,0,0,,0
House,Town-house,373300,As new,254,254,216,4,0,1,2,0,,0,0,,
House,New real estate project - Houses,301216318572,,,,,,0,0,,0,,0,0,,0
House,House,349000,To be done up,81,18,128,4,0,0,2,1,55,0,1,8,0
House,Manor house,1300000,,17219,17219,268,3,0,0,,0,,0,0,,0
House,House,749000,Good,,,250,5,0,0,,0,,0,0,,0
House,House,,To renovate,54,54,138,2,0,0,3,0,,0,0,,1
House,House,395000,Good,60,43,135,4,0,0,2,0,,0,1,17,0
House,Mansion,680000,Good,146,146,285,5,0,0,2,0,,0,0,,0
House,House,225000,Good,43,31,86,2,0,0,1,0,,0,1,12,
